2022-04-19 13:42:00,936 - INFO - **************common.configs**********
2022-04-19 13:42:00,936 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, train_batch_size: 2000, train_data_dir: ./data/whole_data/train, epochs: 6, print_interval: 100, model_save_path: output_model_aitm2/
2022-04-19 13:42:00,936 - INFO - **************common.configs**********
W0419 13:42:00.938179 38848 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 13:42:00.946969 38848 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 13:42:03,061 - INFO - read data
2022-04-19 13:42:03,062 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/train/ctr_cvr.train finished
2022-04-19 13:50:01,541 - INFO - epoch: 0, batch_id: 3900, click_auc:0.510730, purchase_auc:0.503660, loss:0.20057541, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04985 sec, avg_samples: 2000.00000, ips: 40124.15776 ins/s
2022-04-19 13:50:07,108 - INFO - epoch: 0, batch_id: 4000, click_auc:0.511413, purchase_auc:0.504015, loss:0.19064647, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05414 sec, avg_samples: 2000.00000, ips: 36940.04635 ins/s
2022-04-19 13:50:12,666 - INFO - epoch: 0, batch_id: 4100, click_auc:0.512125, purchase_auc:0.502652, loss:0.18482661, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05402 sec, avg_samples: 2000.00000, ips: 37025.69127 ins/s
2022-04-19 13:50:18,398 - INFO - epoch: 0, batch_id: 4200, click_auc:0.512849, purchase_auc:0.502214, loss:0.18540807, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05582 sec, avg_samples: 2000.00000, ips: 35829.04310 ins/s
2022-04-19 13:50:23,982 - INFO - epoch: 0, batch_id: 4300, click_auc:0.513632, purchase_auc:0.503214, loss:0.15279537, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05434 sec, avg_samples: 2000.00000, ips: 36803.62696 ins/s
2022-04-19 13:50:29,487 - INFO - epoch: 0, batch_id: 4400, click_auc:0.514367, purchase_auc:0.503064, loss:0.15884753, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05358 sec, avg_samples: 2000.00000, ips: 37324.64019 ins/s
2022-04-19 13:50:35,326 - INFO - epoch: 0, batch_id: 4500, click_auc:0.515237, purchase_auc:0.502760, loss:0.18288243, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05689 sec, avg_samples: 2000.00000, ips: 35154.49739 ins/s
2022-04-19 13:50:40,258 - INFO - epoch: 0, batch_id: 4600, click_auc:0.516045, purchase_auc:0.502670, loss:0.17855817, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.04772 sec, avg_samples: 2000.00000, ips: 41912.50674 ins/s
2022-04-19 13:50:45,421 - INFO - epoch: 0, batch_id: 4700, click_auc:0.516862, purchase_auc:0.502724, loss:0.20333718, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.05016 sec, avg_samples: 2000.00000, ips: 39870.85403 ins/s
2022-04-19 13:50:50,984 - INFO - epoch: 0, batch_id: 4800, click_auc:0.517618, purchase_auc:0.502468, loss:0.20016937, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05414 sec, avg_samples: 2000.00000, ips: 36940.47255 ins/s
2022-04-19 13:50:56,474 - INFO - epoch: 0, batch_id: 4900, click_auc:0.518437, purchase_auc:0.503654, loss:0.16661382, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05340 sec, avg_samples: 2000.00000, ips: 37451.34312 ins/s
2022-04-19 13:51:02,136 - INFO - epoch: 0, batch_id: 5000, click_auc:0.519153, purchase_auc:0.503976, loss:0.17183244, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.05514 sec, avg_samples: 2000.00000, ips: 36272.24925 ins/s
