2022-04-19 14:10:40,207 - INFO - **************common.configs**********
2022-04-19 14:10:40,207 - INFO - use_gpu: True, use_xpu: False, use_npu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: ./data/whole_data/test, start_epoch: 0, end_epoch: 6, print_interval: 100, model_load_path: output_model_aitm2/
2022-04-19 14:10:40,207 - INFO - **************common.configs**********
W0419 14:10:40.208701 40137 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 11.6, Runtime API Version: 10.1
W0419 14:10:40.213891 40137 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2022-04-19 14:10:42,402 - INFO - read data
2022-04-19 14:10:42,402 - INFO - reader path:reader
start load data from: /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test
load data from /home/xianglingyang/project/paddle_family/paddle_reproduction/PaddleRec/models/rank/aitm/./data/whole_data/test/ctr_cvr.test finished
2022-04-19 14:15:15,283 - INFO - load model epoch 0
2022-04-19 14:15:15,283 - INFO - start load model from output_model_aitm2/0
2022-04-19 14:19:40,793 - INFO - epoch: 0, batch_id: 5300, click_auc: 0.618395,purchase_auc: 0.610640, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04361 sec, avg_samples: 2000.00000, ips: 44828.50 ins/s
2022-04-19 14:19:45,279 - INFO - epoch: 0, batch_id: 5400, click_auc: 0.618255,purchase_auc: 0.611391, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04393 sec, avg_samples: 2000.00000, ips: 44581.64 ins/s
2022-04-19 14:19:49,426 - INFO - epoch: 0, batch_id: 5500, click_auc: 0.618173,purchase_auc: 0.611563, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04023 sec, avg_samples: 2000.00000, ips: 48232.71 ins/s
2022-04-19 14:19:53,717 - INFO - epoch: 0, batch_id: 5600, click_auc: 0.618004,purchase_auc: 0.610924, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04176 sec, avg_samples: 2000.00000, ips: 46609.08 ins/s
2022-04-19 14:19:57,951 - INFO - epoch: 0, batch_id: 5700, click_auc: 0.617914,purchase_auc: 0.610860, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04140 sec, avg_samples: 2000.00000, ips: 47244.12 ins/s
2022-04-19 14:20:02,104 - INFO - epoch: 0, batch_id: 5800, click_auc: 0.617962,purchase_auc: 0.610655, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04060 sec, avg_samples: 2000.00000, ips: 48153.86 ins/s
2022-04-19 14:20:06,454 - INFO - epoch: 0, batch_id: 5900, click_auc: 0.618066,purchase_auc: 0.610817, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04238 sec, avg_samples: 2000.00000, ips: 45985.83 ins/s
2022-04-19 14:20:10,531 - INFO - epoch: 0, batch_id: 6000, click_auc: 0.618136,purchase_auc: 0.610699, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03965 sec, avg_samples: 2000.00000, ips: 49053.19 ins/s
2022-04-19 14:20:14,517 - INFO - epoch: 0, batch_id: 6100, click_auc: 0.618046,purchase_auc: 0.610105, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03868 sec, avg_samples: 2000.00000, ips: 50181.77 ins/s
2022-04-19 14:20:18,955 - INFO - epoch: 0, batch_id: 6200, click_auc: 0.618179,purchase_auc: 0.610595, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04326 sec, avg_samples: 2000.00000, ips: 45068.39 ins/s
2022-04-19 14:20:23,205 - INFO - epoch: 0, batch_id: 6300, click_auc: 0.618211,purchase_auc: 0.609953, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04156 sec, avg_samples: 2000.00000, ips: 47067.11 ins/s
2022-04-19 14:20:27,149 - INFO - epoch: 0, batch_id: 6400, click_auc: 0.618249,purchase_auc: 0.609684, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03833 sec, avg_samples: 2000.00000, ips: 50709.87 ins/s
2022-04-19 14:20:31,411 - INFO - epoch: 0, batch_id: 6500, click_auc: 0.618223,purchase_auc: 0.609534, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04150 sec, avg_samples: 2000.00000, ips: 46921.83 ins/s
2022-04-19 14:20:35,593 - INFO - epoch: 0, batch_id: 6600, click_auc: 0.618301,purchase_auc: 0.610055, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04069 sec, avg_samples: 2000.00000, ips: 47837.50 ins/s
2022-04-19 14:20:39,588 - INFO - epoch: 0, batch_id: 6700, click_auc: 0.618330,purchase_auc: 0.610901, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03883 sec, avg_samples: 2000.00000, ips: 50057.05 ins/s
2022-04-19 14:20:43,700 - INFO - epoch: 0, batch_id: 6800, click_auc: 0.618336,purchase_auc: 0.609880, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04000 sec, avg_samples: 2000.00000, ips: 48642.41 ins/s
2022-04-19 14:20:48,032 - INFO - epoch: 0, batch_id: 6900, click_auc: 0.618363,purchase_auc: 0.610866, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04220 sec, avg_samples: 2000.00000, ips: 46169.49 ins/s
2022-04-19 14:20:52,135 - INFO - epoch: 0, batch_id: 7000, click_auc: 0.618356,purchase_auc: 0.610615, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03991 sec, avg_samples: 2000.00000, ips: 48743.85 ins/s
2022-04-19 14:20:56,233 - INFO - epoch: 0, batch_id: 7100, click_auc: 0.618427,purchase_auc: 0.610247, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03985 sec, avg_samples: 2000.00000, ips: 48807.55 ins/s
2022-04-19 14:21:00,263 - INFO - epoch: 0, batch_id: 7200, click_auc: 0.618415,purchase_auc: 0.609546, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03902 sec, avg_samples: 2000.00000, ips: 49642.09 ins/s
