2021-12-20 18:41:12,287 - INFO - **************common.configs**********
2021-12-20 18:41:12,287 - INFO - use_gpu: True, use_xpu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: data/whole_data/test, start_epoch: 0, end_epoch: 1, print_interval: 50, model_load_path: output_model_all_autodeepfm
2021-12-20 18:41:12,287 - INFO - **************common.configs**********
W1220 18:41:12.289043 17996 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 18:41:12.294060 17996 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 18:41:17,189 - INFO - read data
2021-12-20 18:41:17,189 - INFO - reader path:criteo_reader
2021-12-20 18:41:19,038 - INFO - load model epoch 0
2021-12-20 18:41:19,038 - INFO - start load model from output_model_all_autodeepfm/0
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 18:43:10,590 - INFO - epoch: 0, batch_id: 2050, auc: 0.804531, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05495 sec, avg_samples: 2000.00000, ips: 36347.56 ins/s
2021-12-20 18:43:13,244 - INFO - epoch: 0, batch_id: 2100, auc: 0.804554, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05299 sec, avg_samples: 2000.00000, ips: 37686.96 ins/s
2021-12-20 18:43:15,896 - INFO - epoch: 0, batch_id: 2150, auc: 0.804591, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05297 sec, avg_samples: 2000.00000, ips: 37704.05 ins/s
2021-12-20 18:43:18,599 - INFO - epoch: 0, batch_id: 2200, auc: 0.804630, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05399 sec, avg_samples: 2000.00000, ips: 36994.83 ins/s
2021-12-20 18:43:21,285 - INFO - epoch: 0, batch_id: 2250, auc: 0.804588, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05363 sec, avg_samples: 2000.00000, ips: 37241.88 ins/s
2021-12-20 18:43:23,974 - INFO - epoch: 0, batch_id: 2300, auc: 0.804575, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05371 sec, avg_samples: 2000.00000, ips: 37189.31 ins/s
2021-12-20 18:43:26,623 - INFO - epoch: 0, batch_id: 2350, auc: 0.804623, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05290 sec, avg_samples: 2000.00000, ips: 37754.50 ins/s
2021-12-20 18:43:29,278 - INFO - epoch: 0, batch_id: 2400, auc: 0.804596, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05301 sec, avg_samples: 2000.00000, ips: 37673.95 ins/s
2021-12-20 18:43:31,969 - INFO - epoch: 0, batch_id: 2450, auc: 0.804628, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05371 sec, avg_samples: 2000.00000, ips: 37163.09 ins/s
2021-12-20 18:43:34,625 - INFO - epoch: 0, batch_id: 2500, auc: 0.804633, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05305 sec, avg_samples: 2000.00000, ips: 37646.65 ins/s
2021-12-20 18:43:37,786 - INFO - epoch: 0, batch_id: 2550, auc: 0.804621, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.06314 sec, avg_samples: 2000.00000, ips: 31641.53 ins/s
2021-12-20 18:43:40,674 - INFO - epoch: 0, batch_id: 2600, auc: 0.804636, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05767 sec, avg_samples: 2000.00000, ips: 34625.68 ins/s
