2021-12-20 16:34:03,274 - INFO - **************common.configs**********
2021-12-20 16:34:03,274 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 16:34:03,274 - INFO - **************common.configs**********
W1220 16:34:03.276041  5239 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 16:34:03.281190  5239 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 16:34:09,232 - INFO - read data
2021-12-20 16:34:09,232 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/fluid/dygraph/varbase_patch_methods.py:392: UserWarning: [93m
Warning:
tensor.grad will return the tensor value of the gradient. This is an incompatible upgrade for tensor.grad API.  It's return type changes from numpy.ndarray in version 2.0 to paddle.Tensor in version 2.1.0.  If you want to get the numpy value of the gradient, you can use :code:`x.grad.numpy()` [0m
  warnings.warn(warning_msg)
2021-12-20 16:39:02,668 - INFO - epoch: 0, batch_id: 1900, lr: 0.001, auc:0.748229, loss:0.572735, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08198 sec, avg_samples: 2000.00000, ips: 24395.15850 ins/s
2021-12-20 16:39:06,729 - INFO - epoch: 0, batch_id: 1950, lr: 0.001, auc:0.748950, loss:0.5654584, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.08089 sec, avg_samples: 2000.00000, ips: 24724.78574 ins/s
2021-12-20 16:39:10,823 - INFO - epoch: 0, batch_id: 2000, lr: 0.001, auc:0.749634, loss:0.5598262, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.08154 sec, avg_samples: 2000.00000, ips: 24527.32189 ins/s
2021-12-20 16:39:14,981 - INFO - epoch: 0, batch_id: 2050, lr: 0.001, auc:0.750321, loss:0.5509185, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08280 sec, avg_samples: 2000.00000, ips: 24153.97533 ins/s
2021-12-20 16:39:19,083 - INFO - epoch: 0, batch_id: 2100, lr: 0.001, auc:0.750925, loss:0.57187253, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08169 sec, avg_samples: 2000.00000, ips: 24481.94867 ins/s
2021-12-20 16:39:23,238 - INFO - epoch: 0, batch_id: 2150, lr: 0.001, auc:0.751546, loss:0.5563557, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08276 sec, avg_samples: 2000.00000, ips: 24165.49247 ins/s
2021-12-20 16:39:27,301 - INFO - epoch: 0, batch_id: 2200, lr: 0.001, auc:0.752204, loss:0.5675815, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08093 sec, avg_samples: 2000.00000, ips: 24713.82155 ins/s
2021-12-20 16:39:31,373 - INFO - epoch: 0, batch_id: 2250, lr: 0.001, auc:0.752816, loss:0.55839926, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08111 sec, avg_samples: 2000.00000, ips: 24658.55752 ins/s
2021-12-20 16:39:35,486 - INFO - epoch: 0, batch_id: 2300, lr: 0.001, auc:0.753380, loss:0.57936966, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.08192 sec, avg_samples: 2000.00000, ips: 24414.65537 ins/s
2021-12-20 16:39:39,592 - INFO - epoch: 0, batch_id: 2350, lr: 0.001, auc:0.753952, loss:0.5414243, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08178 sec, avg_samples: 2000.00000, ips: 24457.03230 ins/s
