2021-12-20 17:38:28,908 - INFO - **************common.configs**********
2021-12-20 17:38:28,908 - INFO - use_gpu: True, use_xpu: False, use_visual: False, train_batch_size: 2000, train_data_dir: data/whole_data/train, epochs: 1, print_interval: 50, model_save_path: output_model_all_autodeepfm
2021-12-20 17:38:28,908 - INFO - **************common.configs**********
W1220 17:38:28.909716 11696 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 17:38:28.914793 11696 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 17:38:35,125 - INFO - read data
2021-12-20 17:38:35,125 - INFO - reader path:criteo_reader
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 17:42:39,218 - INFO - epoch: 0, batch_id: 1550, lr: 0.001, auc:0.763011, loss:0.5815824, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14840 sec, avg_samples: 2000.00000, ips: 13476.85887 ins/s
2021-12-20 17:42:46,677 - INFO - epoch: 0, batch_id: 1600, lr: 0.001, auc:0.763498, loss:0.5843303, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14796 sec, avg_samples: 2000.00000, ips: 13517.29052 ins/s
2021-12-20 17:42:54,252 - INFO - epoch: 0, batch_id: 1650, lr: 0.001, auc:0.763957, loss:0.5860838, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.15013 sec, avg_samples: 2000.00000, ips: 13321.91006 ins/s
2021-12-20 17:43:01,865 - INFO - epoch: 0, batch_id: 1700, lr: 0.001, auc:0.764425, loss:0.5731729, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.15080 sec, avg_samples: 2000.00000, ips: 13262.29256 ins/s
2021-12-20 17:43:09,218 - INFO - epoch: 0, batch_id: 1750, lr: 0.001, auc:0.764839, loss:0.5504375, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14582 sec, avg_samples: 2000.00000, ips: 13715.94044 ins/s
2021-12-20 17:43:16,569 - INFO - epoch: 0, batch_id: 1800, lr: 0.001, auc:0.765303, loss:0.5582825, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14588 sec, avg_samples: 2000.00000, ips: 13709.85659 ins/s
2021-12-20 17:43:23,986 - INFO - epoch: 0, batch_id: 1850, lr: 0.001, auc:0.765746, loss:0.5765932, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14692 sec, avg_samples: 2000.00000, ips: 13612.87977 ins/s
2021-12-20 17:43:31,350 - INFO - epoch: 0, batch_id: 1900, lr: 0.001, auc:0.766128, loss:0.5689878, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14587 sec, avg_samples: 2000.00000, ips: 13710.42574 ins/s
2021-12-20 17:43:38,843 - INFO - epoch: 0, batch_id: 1950, lr: 0.001, auc:0.766502, loss:0.5653772, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14882 sec, avg_samples: 2000.00000, ips: 13438.86575 ins/s
2021-12-20 17:43:46,238 - INFO - epoch: 0, batch_id: 2000, lr: 0.001, auc:0.766857, loss:0.5536356, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14667 sec, avg_samples: 2000.00000, ips: 13636.19133 ins/s
2021-12-20 17:43:54,212 - INFO - epoch: 0, batch_id: 2050, lr: 0.001, auc:0.767224, loss:0.54979867, avg_reader_cost: 0.00046 sec, avg_batch_cost: 0.15819 sec, avg_samples: 2000.00000, ips: 12643.01601 ins/s
2021-12-20 17:44:02,057 - INFO - epoch: 0, batch_id: 2100, lr: 0.001, auc:0.767530, loss:0.56747484, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.15516 sec, avg_samples: 2000.00000, ips: 12890.13417 ins/s
2021-12-20 17:44:09,704 - INFO - epoch: 0, batch_id: 2150, lr: 0.001, auc:0.767842, loss:0.55756664, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.15165 sec, avg_samples: 2000.00000, ips: 13188.27326 ins/s
2021-12-20 17:44:17,104 - INFO - epoch: 0, batch_id: 2200, lr: 0.001, auc:0.768207, loss:0.5606803, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.14665 sec, avg_samples: 2000.00000, ips: 13637.56579 ins/s
2021-12-20 17:44:24,525 - INFO - epoch: 0, batch_id: 2250, lr: 0.001, auc:0.768540, loss:0.557076, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.14712 sec, avg_samples: 2000.00000, ips: 13594.31401 ins/s
2021-12-20 17:44:32,006 - INFO - epoch: 0, batch_id: 2300, lr: 0.001, auc:0.768840, loss:0.5744732, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14824 sec, avg_samples: 2000.00000, ips: 13491.88831 ins/s
2021-12-20 17:44:39,377 - INFO - epoch: 0, batch_id: 2350, lr: 0.001, auc:0.769151, loss:0.53951025, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14625 sec, avg_samples: 2000.00000, ips: 13675.58866 ins/s
2021-12-20 17:44:46,772 - INFO - epoch: 0, batch_id: 2400, lr: 0.001, auc:0.769473, loss:0.550461, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14645 sec, avg_samples: 2000.00000, ips: 13656.85869 ins/s
2021-12-20 17:44:54,158 - INFO - epoch: 0, batch_id: 2450, lr: 0.001, auc:0.769724, loss:0.5487074, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14650 sec, avg_samples: 2000.00000, ips: 13651.95614 ins/s
2021-12-20 17:45:01,624 - INFO - epoch: 0, batch_id: 2500, lr: 0.001, auc:0.769965, loss:0.5731525, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14809 sec, avg_samples: 2000.00000, ips: 13505.00164 ins/s
2021-12-20 17:45:09,082 - INFO - epoch: 0, batch_id: 2550, lr: 0.001, auc:0.770186, loss:0.5595718, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14774 sec, avg_samples: 2000.00000, ips: 13537.57866 ins/s
2021-12-20 17:45:16,525 - INFO - epoch: 0, batch_id: 2600, lr: 0.001, auc:0.770447, loss:0.5644448, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14749 sec, avg_samples: 2000.00000, ips: 13560.26717 ins/s
2021-12-20 17:45:24,026 - INFO - epoch: 0, batch_id: 2650, lr: 0.001, auc:0.770671, loss:0.5471256, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14871 sec, avg_samples: 2000.00000, ips: 13448.84177 ins/s
2021-12-20 17:45:31,444 - INFO - epoch: 0, batch_id: 2700, lr: 0.001, auc:0.770843, loss:0.54505086, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14719 sec, avg_samples: 2000.00000, ips: 13588.22882 ins/s
2021-12-20 17:45:38,819 - INFO - epoch: 0, batch_id: 2750, lr: 0.001, auc:0.771072, loss:0.55355716, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14604 sec, avg_samples: 2000.00000, ips: 13695.09311 ins/s
2021-12-20 17:45:46,204 - INFO - epoch: 0, batch_id: 2800, lr: 0.001, auc:0.771276, loss:0.55420977, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14628 sec, avg_samples: 2000.00000, ips: 13672.51224 ins/s
2021-12-20 17:45:53,589 - INFO - epoch: 0, batch_id: 2850, lr: 0.001, auc:0.771471, loss:0.56375647, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14646 sec, avg_samples: 2000.00000, ips: 13656.05610 ins/s
2021-12-20 17:46:01,048 - INFO - epoch: 0, batch_id: 2900, lr: 0.001, auc:0.771709, loss:0.5782752, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14787 sec, avg_samples: 2000.00000, ips: 13525.45875 ins/s
2021-12-20 17:46:08,493 - INFO - epoch: 0, batch_id: 2950, lr: 0.001, auc:0.771932, loss:0.5466451, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14741 sec, avg_samples: 2000.00000, ips: 13567.95372 ins/s
2021-12-20 17:46:15,969 - INFO - epoch: 0, batch_id: 3000, lr: 0.001, auc:0.772163, loss:0.573014, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14827 sec, avg_samples: 2000.00000, ips: 13489.35902 ins/s
2021-12-20 17:46:23,386 - INFO - epoch: 0, batch_id: 3050, lr: 0.001, auc:0.772377, loss:0.53603375, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14711 sec, avg_samples: 2000.00000, ips: 13595.13095 ins/s
2021-12-20 17:46:30,838 - INFO - epoch: 0, batch_id: 3100, lr: 0.001, auc:0.772581, loss:0.5567744, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14759 sec, avg_samples: 2000.00000, ips: 13550.89177 ins/s
